sample_ID	cosm	scenario	heatwave	time	replicate	uni_ID	Treatment
HNT22-euk-A1-246	A1	rcp	no	1	A	rcp-no-246	RCP
HNT22-euk-A1-249	A1	rcp	no	4	A	rcp-no-249	RCP
HNT22-euk-A1-251	A1	rcp	no	6	A	rcp-no-251	RCP
HNT22-euk-A1-253	A1	rcp	no	8	A	rcp-no-253	RCP
HNT22-euk-A1-256	A1	rcp	no	11	A	rcp-no-256	RCP
HNT22-euk-A1-258	A1	rcp	no	13	A	rcp-no-258	RCP
HNT22-euk-A1-260	A1	rcp	no	15	A	rcp-no-260	RCP
HNT22-euk-A1-263	A1	rcp	no	18	A	rcp-no-263	RCP
HNT22-euk-A1-265	A1	rcp	no	20	A	rcp-no-265	RCP
HNT22-euk-A1-267	A1	rcp	no	22	A	rcp-no-267	RCP
HNT22-euk-A1-270	A1	rcp	no	25	A	rcp-no-270	RCP
HNT22-euk-A1-272	A1	rcp	no	27	A	rcp-no-272	RCP
HNT22-euk-A2-246	A2	ambient	no	1	A	ambient-no-246	Ambient
HNT22-euk-A2-249	A2	ambient	no	4	A	ambient-no-249	Ambient
HNT22-euk-A2-251	A2	ambient	no	6	A	ambient-no-251	Ambient
HNT22-euk-A2-253	A2	ambient	no	8	A	ambient-no-253	Ambient
HNT22-euk-A2-256	A2	ambient	no	11	A	ambient-no-256	Ambient
HNT22-euk-A2-258	A2	ambient	no	13	A	ambient-no-258	Ambient
HNT22-euk-A2-260	A2	ambient	no	15	A	ambient-no-260	Ambient
HNT22-euk-A2-263	A2	ambient	no	18	A	ambient-no-263	Ambient
HNT22-euk-A2-265	A2	ambient	no	20	A	ambient-no-265	Ambient
HNT22-euk-A2-267	A2	ambient	no	22	A	ambient-no-267	Ambient
HNT22-euk-A2-270	A2	ambient	no	25	A	ambient-no-270	Ambient
HNT22-euk-A2-272	A2	ambient	no	27	A	ambient-no-272	Ambient
HNT22-euk-A3-246	A3	rcp	no	1	B	rcp-no-246	RCP
HNT22-euk-A3-249	A3	rcp	no	4	B	rcp-no-249	RCP
HNT22-euk-A3-251	A3	rcp	no	6	B	rcp-no-251	RCP
HNT22-euk-A3-253	A3	rcp	no	8	B	rcp-no-253	RCP
HNT22-euk-A3-256	A3	rcp	no	11	B	rcp-no-256	RCP
HNT22-euk-A3-258	A3	rcp	no	13	B	rcp-no-258	RCP
HNT22-euk-A3-260	A3	rcp	no	15	B	rcp-no-260	RCP
